site,date_time,discharge,notes
4198000,1/5/2017 23:30,2460,cubic feet per second
4198000,1/6/2017 0:00,2440,cubic feet per second
4198000,1/6/2017 0:30,2430,cubic feet per second
4198000,1/6/2017 1:00,2430,cubic feet per second
4198000,1/6/2017 1:30,2410,cubic feet per second
4198000,1/6/2017 2:00,2400,cubic feet per second
4198000,1/6/2017 2:30,2380,cubic feet per second
4198000,1/6/2017 3:00,2360,cubic feet per second
4198000,1/6/2017 3:30,2350,cubic feet per second
4198000,1/6/2017 4:00,2310,cubic feet per second
4198000,1/6/2017 4:30,2300,cubic feet per second
4198000,1/6/2017 5:00,2280,cubic feet per second
4198000,1/6/2017 5:30,2270,cubic feet per second
4198000,1/6/2017 6:00,2230,cubic feet per second
4198000,1/6/2017 6:30,2220,cubic feet per second
4198000,1/6/2017 7:00,2200,cubic feet per second
4198000,1/6/2017 7:30,2170,cubic feet per second
4198000,1/6/2017 8:00,2160,cubic feet per second
4198000,1/6/2017 8:30,2160,cubic feet per second
4198000,1/6/2017 9:00,2160,cubic feet per second
4198000,1/6/2017 9:30,2120,cubic feet per second
4198000,1/6/2017 10:00,2090,cubic feet per second
4198000,1/6/2017 10:30,2040,cubic feet per second
4198000,1/6/2017 11:00,2000,cubic feet per second
4198000,1/6/2017 11:30,1970,cubic feet per second
4198000,1/6/2017 12:00,1940,cubic feet per second
4198000,1/6/2017 12:30,1880,cubic feet per second
4198000,1/6/2017 13:00,1850,cubic feet per second
4198000,1/6/2017 13:30,1850,cubic feet per second
4198000,1/6/2017 14:00,1830,cubic feet per second
4198000,1/6/2017 14:30,1830,cubic feet per second
4198000,1/6/2017 15:00,1830,cubic feet per second
4198000,1/6/2017 15:30,1820,cubic feet per second
4198000,1/6/2017 16:00,1820,cubic feet per second
4198000,1/6/2017 16:30,1800,cubic feet per second
4198000,1/6/2017 17:00,1770,cubic feet per second
4198000,1/6/2017 17:30,1740,cubic feet per second
4198000,1/6/2017 18:00,1720,cubic feet per second
4198000,1/6/2017 18:30,1670,cubic feet per second
4198000,1/6/2017 19:00,1630,cubic feet per second
4198000,1/6/2017 19:30,1580,cubic feet per second
4198000,1/6/2017 20:00,1550,cubic feet per second
4198000,1/6/2017 20:30,1530,cubic feet per second
4198000,1/6/2017 21:00,1510,cubic feet per second
4198000,1/6/2017 21:30,1490,cubic feet per second
4198000,1/6/2017 22:00,1450,cubic feet per second
4198000,1/6/2017 22:30,1420,cubic feet per second
4198000,1/6/2017 23:00,1380,cubic feet per second
4198000,1/6/2017 23:30,1350,cubic feet per second
4198000,1/7/2017 0:00,,cubic feet per second
4198000,1/7/2017 0:30,,cubic feet per second
4198000,1/7/2017 1:00,,cubic feet per second
4198000,1/7/2017 1:30,,cubic feet per second
4198000,1/7/2017 2:00,,cubic feet per second
4198000,1/7/2017 2:30,,cubic feet per second
4198000,1/7/2017 3:00,,cubic feet per second
4198000,1/7/2017 3:30,,cubic feet per second
4198000,1/7/2017 4:00,,cubic feet per second
4198000,1/7/2017 4:30,,cubic feet per second
4198000,1/7/2017 5:00,,cubic feet per second
4198000,1/7/2017 5:30,,cubic feet per second
4198000,1/7/2017 6:00,,cubic feet per second
4198000,1/7/2017 6:30,,cubic feet per second
4198000,1/7/2017 7:00,,cubic feet per second
4198000,1/7/2017 7:30,,cubic feet per second
4198000,1/7/2017 8:00,,cubic feet per second
4198000,1/7/2017 8:30,,cubic feet per second
4198000,1/7/2017 9:00,,cubic feet per second
4198000,1/7/2017 9:30,,cubic feet per second
4198000,1/7/2017 10:00,,cubic feet per second
4198000,1/7/2017 10:30,,cubic feet per second
4198000,1/7/2017 11:00,,cubic feet per second
4198000,1/7/2017 11:30,,cubic feet per second
4198000,1/7/2017 12:00,,cubic feet per second
4198000,1/7/2017 12:30,,cubic feet per second
4198000,1/7/2017 13:00,,cubic feet per second
4198000,1/7/2017 13:30,,cubic feet per second
4198000,1/7/2017 14:00,,cubic feet per second
4198000,1/7/2017 14:30,,cubic feet per second
4198000,1/7/2017 15:00,,cubic feet per second
4198000,1/7/2017 15:30,,cubic feet per second
4198000,1/7/2017 16:00,,cubic feet per second
4198000,1/7/2017 16:30,,cubic feet per second
4198000,1/7/2017 17:00,,cubic feet per second
4198000,1/7/2017 17:30,,cubic feet per second
4198000,1/7/2017 18:00,,cubic feet per second
4198000,1/7/2017 18:30,,cubic feet per second
4198000,1/7/2017 19:00,,cubic feet per second
4198000,1/7/2017 19:30,,cubic feet per second
4198000,1/7/2017 20:00,,cubic feet per second
4198000,1/7/2017 20:30,,cubic feet per second
4198000,1/7/2017 21:00,,cubic feet per second
4198000,1/7/2017 21:30,,cubic feet per second
4198000,1/7/2017 22:00,,cubic feet per second
4198000,1/7/2017 22:30,,cubic feet per second
4198000,1/7/2017 23:00,,cubic feet per second
4198000,1/7/2017 23:30,,cubic feet per second
4198000,1/8/2017 0:00,,cubic feet per second
4198000,1/8/2017 0:30,,cubic feet per second
4198000,1/8/2017 1:00,,cubic feet per second
4198000,1/8/2017 1:30,,cubic feet per second
4198000,1/8/2017 2:00,,cubic feet per second
4198000,1/8/2017 2:30,,cubic feet per second
4198000,1/8/2017 3:00,,cubic feet per second
4198000,1/8/2017 3:30,,cubic feet per second
4198000,1/8/2017 4:00,,cubic feet per second
4198000,1/8/2017 4:30,,cubic feet per second
4198000,1/8/2017 5:00,,cubic feet per second
4198000,1/8/2017 5:30,,cubic feet per second
4198000,1/8/2017 6:00,,cubic feet per second
4198000,1/8/2017 6:30,,cubic feet per second
4198000,1/8/2017 7:00,,cubic feet per second
4198000,1/8/2017 7:30,,cubic feet per second
4198000,1/8/2017 8:00,,cubic feet per second
4198000,1/8/2017 8:30,,cubic feet per second
4198000,1/8/2017 9:00,,cubic feet per second
4198000,1/8/2017 9:30,,cubic feet per second
4198000,1/8/2017 10:00,,cubic feet per second
4198000,1/8/2017 10:30,,cubic feet per second
4198000,1/8/2017 11:00,,cubic feet per second
4198000,1/8/2017 11:30,,cubic feet per second
4198000,1/8/2017 12:00,,cubic feet per second
4198000,1/8/2017 12:30,,cubic feet per second
4198000,1/8/2017 13:00,,cubic feet per second
4198000,1/8/2017 13:30,,cubic feet per second
4198000,1/8/2017 14:00,,cubic feet per second
4198000,1/8/2017 14:30,,cubic feet per second
4198000,1/8/2017 15:00,,cubic feet per second
4198000,1/8/2017 15:30,,cubic feet per second
4198000,1/8/2017 16:00,,cubic feet per second
4198000,1/8/2017 16:30,,cubic feet per second
4198000,1/8/2017 17:00,,cubic feet per second
4198000,1/8/2017 17:30,,cubic feet per second
4198000,1/8/2017 18:00,,cubic feet per second
4198000,1/8/2017 18:30,,cubic feet per second
4198000,1/8/2017 19:00,,cubic feet per second
4198000,1/8/2017 19:30,,cubic feet per second
4198000,1/8/2017 20:00,,cubic feet per second
4198000,1/8/2017 20:30,,cubic feet per second
4198000,1/8/2017 21:00,,cubic feet per second
4198000,1/8/2017 21:30,,cubic feet per second
4198000,1/8/2017 22:00,,cubic feet per second
4198000,1/8/2017 22:30,,cubic feet per second
4198000,1/8/2017 23:00,,cubic feet per second
4198000,1/8/2017 23:30,,cubic feet per second
4198000,1/9/2017 0:00,,cubic feet per second
4198000,1/9/2017 0:30,,cubic feet per second
4198000,1/9/2017 1:00,,cubic feet per second
4198000,1/9/2017 1:30,,cubic feet per second
4198000,1/9/2017 2:00,,cubic feet per second
4198000,1/9/2017 2:30,,cubic feet per second
4198000,1/9/2017 3:00,,cubic feet per second
4198000,1/9/2017 3:30,,cubic feet per second
4198000,1/9/2017 4:00,,cubic feet per second
4198000,1/9/2017 4:30,,cubic feet per second
4198000,1/9/2017 5:00,,cubic feet per second
4198000,1/9/2017 5:30,,cubic feet per second
4198000,1/9/2017 6:00,,cubic feet per second
4198000,1/9/2017 6:30,,cubic feet per second
4198000,1/9/2017 7:00,,cubic feet per second
4198000,1/9/2017 7:30,,cubic feet per second
4198000,1/9/2017 8:00,,cubic feet per second
4198000,1/9/2017 8:30,,cubic feet per second
4198000,1/9/2017 9:00,,cubic feet per second
4198000,1/9/2017 9:30,,cubic feet per second
4198000,1/9/2017 10:00,,cubic feet per second
4198000,1/9/2017 10:30,,cubic feet per second
4198000,1/9/2017 11:00,,cubic feet per second
4198000,1/9/2017 11:30,,cubic feet per second
4198000,1/9/2017 12:00,,cubic feet per second
4198000,1/9/2017 12:30,,cubic feet per second
4198000,1/9/2017 13:00,,cubic feet per second
4198000,1/9/2017 13:30,,cubic feet per second
4198000,1/9/2017 14:00,,cubic feet per second
4198000,1/9/2017 14:30,,cubic feet per second
4198000,1/9/2017 15:00,,cubic feet per second
4198000,1/9/2017 15:30,,cubic feet per second
4198000,1/9/2017 16:00,,cubic feet per second
4198000,1/9/2017 16:30,,cubic feet per second
4198000,1/9/2017 17:00,,cubic feet per second
4198000,1/9/2017 17:30,,cubic feet per second
4198000,1/9/2017 18:00,,cubic feet per second
4198000,1/9/2017 18:30,,cubic feet per second
4198000,1/9/2017 19:00,,cubic feet per second
4198000,1/9/2017 19:30,,cubic feet per second
4198000,1/9/2017 20:00,,cubic feet per second
4198000,1/9/2017 20:30,,cubic feet per second
4198000,1/9/2017 21:00,,cubic feet per second
4198000,1/9/2017 21:30,,cubic feet per second
4198000,1/9/2017 22:00,,cubic feet per second
4198000,1/9/2017 22:30,,cubic feet per second
4198000,1/9/2017 23:00,,cubic feet per second
4198000,1/9/2017 23:30,,cubic feet per second
4198000,1/10/2017 0:00,,cubic feet per second
4198000,1/10/2017 0:30,,cubic feet per second
4198000,1/10/2017 1:00,,cubic feet per second
4198000,1/10/2017 1:30,,cubic feet per second
4198000,1/10/2017 2:00,,cubic feet per second
4198000,1/10/2017 2:30,,cubic feet per second
4198000,1/10/2017 3:00,,cubic feet per second
4198000,1/10/2017 3:30,,cubic feet per second
4198000,1/10/2017 4:00,,cubic feet per second
4198000,1/10/2017 4:30,,cubic feet per second
4198000,1/10/2017 5:00,,cubic feet per second
4198000,1/10/2017 5:30,,cubic feet per second
4198000,1/10/2017 6:00,,cubic feet per second
4198000,1/10/2017 6:30,,cubic feet per second
4198000,1/10/2017 7:00,,cubic feet per second
4198000,1/10/2017 7:30,,cubic feet per second
4198000,1/10/2017 8:00,,cubic feet per second
4198000,1/10/2017 8:30,,cubic feet per second
4198000,1/10/2017 9:00,,cubic feet per second
4198000,1/10/2017 9:30,,cubic feet per second
4198000,1/10/2017 10:00,,cubic feet per second
4198000,1/10/2017 10:30,,cubic feet per second
4198000,1/10/2017 11:00,,cubic feet per second
4198000,1/10/2017 11:30,,cubic feet per second
4198000,1/10/2017 12:00,,cubic feet per second
4198000,1/10/2017 12:30,,cubic feet per second
4198000,1/10/2017 13:00,,cubic feet per second
4198000,1/10/2017 13:30,,cubic feet per second
4198000,1/10/2017 14:00,,cubic feet per second
4198000,1/10/2017 14:30,,cubic feet per second
4198000,1/10/2017 15:00,,cubic feet per second
4198000,1/10/2017 15:30,,cubic feet per second
4198000,1/10/2017 16:00,,cubic feet per second
4198000,1/10/2017 16:30,,cubic feet per second
4198000,1/10/2017 17:00,,cubic feet per second
4198000,1/10/2017 17:30,,cubic feet per second
4198000,1/10/2017 18:00,,cubic feet per second
4198000,1/10/2017 18:30,,cubic feet per second
4198000,1/10/2017 19:00,,cubic feet per second
4198000,1/10/2017 19:30,,cubic feet per second
